    0.10000E-03    0.88565E+00
    0.10202E-03    0.90282E+00
    0.10408E-03    0.92031E+00
    0.10618E-03    0.93815E+00
    0.10833E-03    0.95633E+00
    0.11052E-03    0.97487E+00
    0.11275E-03    0.99376E+00
    0.11503E-03    0.10130E+01
    0.11735E-03    0.10327E+01
    0.11972E-03    0.10527E+01
    0.12214E-03    0.10731E+01
    0.12461E-03    0.10939E+01
    0.12712E-03    0.11151E+01
    0.12969E-03    0.11367E+01
    0.13231E-03    0.11587E+01
    0.13499E-03    0.11811E+01
    0.13771E-03    0.12040E+01
    0.14049E-03    0.12274E+01
    0.14333E-03    0.12511E+01
    0.14623E-03    0.12754E+01
    0.14918E-03    0.13001E+01
    0.15220E-03    0.13253E+01
    0.15527E-03    0.13510E+01
    0.15841E-03    0.13772E+01
    0.16161E-03    0.14038E+01
    0.16487E-03    0.14310E+01
    0.16820E-03    0.14588E+01
    0.17160E-03    0.14870E+01
    0.17507E-03    0.15158E+01
    0.17860E-03    0.15452E+01
    0.18221E-03    0.15751E+01
    0.18589E-03    0.16056E+01
    0.18965E-03    0.16367E+01
    0.19348E-03    0.16685E+01
    0.19739E-03    0.17008E+01
    0.20138E-03    0.17337E+01
    0.20544E-03    0.17673E+01
    0.20959E-03    0.18015E+01
    0.21383E-03    0.18364E+01
    0.21815E-03    0.18720E+01
    0.22255E-03    0.19082E+01
    0.22705E-03    0.19452E+01
    0.23164E-03    0.19829E+01
    0.23632E-03    0.20212E+01
    0.24109E-03    0.20604E+01
    0.24596E-03    0.21003E+01
    0.25093E-03    0.21409E+01
    0.25600E-03    0.21824E+01
    0.26117E-03    0.22246E+01
    0.26645E-03    0.22677E+01
    0.27183E-03    0.23116E+01
    0.27732E-03    0.23563E+01
    0.28292E-03    0.24019E+01
    0.28864E-03    0.24484E+01
    0.29447E-03    0.24958E+01
    0.30042E-03    0.25441E+01
    0.30649E-03    0.25933E+01
    0.31268E-03    0.26435E+01
    0.31899E-03    0.26946E+01
    0.32544E-03    0.27468E+01
    0.33201E-03    0.27999E+01
    0.33872E-03    0.28540E+01
    0.34556E-03    0.29092E+01
    0.35254E-03    0.29655E+01
    0.35966E-03    0.30228E+01
    0.36693E-03    0.30813E+01
    0.37434E-03    0.31408E+01
    0.38190E-03    0.32015E+01
    0.38962E-03    0.32634E+01
    0.39749E-03    0.33265E+01
    0.40552E-03    0.33907E+01
    0.41371E-03    0.34562E+01
    0.42207E-03    0.35230E+01
    0.43060E-03    0.35910E+01
    0.43929E-03    0.36604E+01
    0.44817E-03    0.37310E+01
    0.45722E-03    0.38031E+01
    0.46646E-03    0.38765E+01
    0.47588E-03    0.39513E+01
    0.48550E-03    0.40275E+01
    0.49530E-03    0.41052E+01
    0.50531E-03    0.41844E+01
    0.51552E-03    0.42650E+01
    0.52593E-03    0.43473E+01
    0.53656E-03    0.44310E+01
    0.54739E-03    0.45164E+01
    0.55845E-03    0.46034E+01
    0.56973E-03    0.46921E+01
    0.58124E-03    0.47824E+01
    0.59299E-03    0.48745E+01
    0.60496E-03    0.49683E+01
    0.61719E-03    0.50638E+01
    0.62965E-03    0.51612E+01
    0.64237E-03    0.52604E+01
    0.65535E-03    0.53615E+01
    0.66859E-03    0.54645E+01
